Project,Milestone,Task,TaskID,DependsOn,EstimatedHours,Priority,StartDate,DueDate,Owner,Status,ActualHours,LastComment,CommentLog,LastUpdated,ActualSeconds,InProgressStart
CRM Upgrade,Milestone 3,Task 64 for Milestone 3,T64,T63,5.0,High,2025-09-19,2025-09-26,Charlie,Pending,0.0,,,,0,
CRM Upgrade,Milestone 4,Task 65 for Milestone 4,T65,,4.0,Medium,2025-09-28,2025-10-01,Charlie,Pending,0.0,,,,0,
CRM Upgrade,Milestone 4,Task 66 for Milestone 4,T66,T65,18.0,Low,2025-09-24,2025-10-01,Eve,Pending,0.0,,,,0,
CRM Upgrade,Milestone 4,Task 67 for Milestone 4,T67,T66,6.0,Low,2025-10-06,2025-10-09,Eve,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 1,Task 68 for Milestone 1,T68,,15.0,Low,2025-09-14,2025-09-17,David,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 1,Task 69 for Milestone 1,T69,T68,13.0,Medium,2025-10-06,2025-10-07,Charlie,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 1,Task 70 for Milestone 1,T70,T69,11.0,Low,2025-08-16,2025-08-22,Eve,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 2,Task 71 for Milestone 2,T71,,8.0,High,2025-10-04,2025-10-07,Bob,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 2,Task 72 for Milestone 2,T72,,4.0,High,2025-09-26,2025-10-02,David,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 2,Task 73 for Milestone 2,T73,,11.0,Medium,2025-08-20,2025-08-22,David,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 2,Task 74 for Milestone 2,T74,,19.0,High,2025-08-22,2025-08-30,Charlie,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 3,Task 75 for Milestone 3,T75,,11.0,High,2025-08-11,2025-08-15,David,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 3,Task 76 for Milestone 3,T76,T75,6.0,Medium,2025-09-01,2025-09-10,David,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 3,Task 77 for Milestone 3,T77,,14.0,High,2025-08-17,2025-08-22,Bob,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 3,Task 78 for Milestone 3,T78,T77,12.0,High,2025-08-16,2025-08-26,David,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 4,Task 79 for Milestone 4,T79,,14.0,Medium,2025-09-17,2025-09-26,Alice,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 4,Task 80 for Milestone 4,T80,T79,10.0,Medium,2025-08-12,2025-08-19,Alice,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 4,Task 81 for Milestone 4,T81,T80,10.0,Medium,2025-09-06,2025-09-08,Charlie,Pending,0.0,,,,0,
E-commerce Expansion,Milestone 4,Task 82 for Milestone 4,T82,,7.0,Low,2025-10-06,2025-10-11,Eve,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 1,Task 83 for Milestone 1,T83,,17.0,Medium,2025-09-04,2025-09-09,Eve,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 1,Task 84 for Milestone 1,T84,T83,17.0,Low,2025-10-09,2025-10-16,Bob,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 1,Task 85 for Milestone 1,T85,,13.0,Medium,2025-09-14,2025-09-15,Charlie,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 1,Task 86 for Milestone 1,T86,T85,17.0,Low,2025-09-17,2025-09-23,David,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 2,Task 87 for Milestone 2,T87,,18.0,Low,2025-08-23,2025-09-01,David,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 2,Task 88 for Milestone 2,T88,,9.0,Low,2025-08-15,2025-08-20,Eve,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 2,Task 89 for Milestone 2,T89,,14.0,High,2025-10-01,2025-10-05,Charlie,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 2,Task 90 for Milestone 2,T90,T89,10.0,High,2025-08-11,2025-08-12,Bob,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 3,Task 91 for Milestone 3,T91,,6.0,Medium,2025-09-05,2025-09-15,Bob,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 3,Task 92 for Milestone 3,T92,,16.0,Medium,2025-09-04,2025-09-08,Bob,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 3,Task 93 for Milestone 3,T93,,4.0,High,2025-09-28,2025-10-05,Bob,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 3,Task 94 for Milestone 3,T94,T93,20.0,Medium,2025-08-13,2025-08-22,Bob,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 4,Task 95 for Milestone 4,T95,,18.0,High,2025-09-30,2025-10-08,Eve,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 4,Task 96 for Milestone 4,T96,,14.0,Medium,2025-09-18,2025-09-27,David,Pending,0.0,,,,0,
Data Warehouse Build,Milestone 4,Task 97 for Milestone 4,T97,,18.0,High,2025-09-26,2025-10-04,David,Pending,0.0,,,,0,
